number,categoryId,nameEl,nameEn,nameZh,price,spicyLevel
154,pork,Χοιρινό με αλάτι & πιπέρι,Pork with salt & pepper,椒盐猪肉,11.90,1
155,pork,Χοιρινό Sichuan,Sichuan pork,四川猪肉,12.90,3
156,pork,Ψητό χοιρινό ξεροψημένο,Roasted crispy pork,烧脆皮猪肉,15.90,
157,pork,Χοιρινό με λαχανικά,Pork with vegetables,蔬菜猪肉,11.90,
158,pork,Χοιρινό με σάλτσα κάρυ,Pork with curry sauce,咖喱猪肉,11.90,
159,pork,Χοιρινό με σάλτσα στρειδιών,Pork with oyster sauce,蚝油猪肉,11.90,
160,pork,Γλυκόξινο χοιρινό,Sweet & sour pork,咕噜肉,11.90,
161,pork,Χοιρινό Tja Siew,Pork Tja Siew,叉烧,15.90,
162,pork,Γλυκόξινα χοιρινά παϊδάκια,Sweet & sour pork spare ribs,甜酸猪排骨,13.50,
163,pork,Χοιρινά παϊδάκια με αλάτι και πιπέρι,Pork spare ribs with salt & pepper,椒盐猪排骨,13.50,
164,pork,Χοιρινά παϊδάκια με ζάχαρη και ξύδι,Pork spare ribs with sugar & vinegar,糖醋猪排骨,13.50,
165,pork,Τηγανητά χοιρινά παϊδάκια,Fried pork spare ribs,炸猪排骨,13.50,
166,pork,Χοιρινό Mei Cai Kou Rou,Pork Mei Cai Kou Rou,梅菜扣肉,18.90,
167,pork,Χοιρινό με τσίλι,Pork with chilli,辣椒猪肉,12.90,3
170,seafood,Γαρίδες με μπρόκολο,Shrimps with broccoli,西兰花虾仁,15.90,
171,seafood,Ομελέτα με γαρίδες,Shrimps omelette,虾仁煎蛋,16.90,
172,seafood,Γαρίδες με ανάμεικτα λαχανικά,Shrimps with mixed vegetables,杂菜虾仁,15.90,
173,seafood,Γαρίδες με σάλτσα Thai,Shrimps with Thai sauce,泰汁虾仁,15.90,3
174,seafood,Γαρίδες με σάλτσα κάρυ,Shrimps with curry sauce,咖喱虾仁,15.90,
175,seafood,Γαρίδες γλυκόξινες,Sweet & sour King prawns,甜酸大虾,15.90,
176,seafood,Γαρίδες με αλάτι & πιπέρι,Shrimps with salt & pepper,椒盐虾仁,18.90,1
177,seafood,Γαρίδες στον ατμό με σκόρδο,Steamed King prawns with garlic,蒜蓉蒸大虾,18.90,
178,seafood,Γαρίδες στον ατμό,Steamed King prawns,清蒸大虾,18.90,
179,seafood,Καλαμάρι με σάλτσα κάρυ,Squid with curry sauce,咖喱鱿鱼,15.90,
180,seafood,Καλαμάρι με σάλτσα Thai,Squid with Thai sauce,泰汁鱿鱼,15.90,2
181,seafood,Τσιπούρα τηγανητή,Fried Sea Bream,炸鲷鱼,29.00,
182,seafood,Τσιπούρα στον ατμό,Steamed Sea Bream,清蒸鲷鱼,29.00,
183,seafood,Λαβράκι τηγανητό,Fried Sea Bass,炸海鲈鱼,29.00,
184,seafood,Λαβράκι στον ατμό,Steamed Sea Bass,清蒸海鲈鱼,29.00,
185,seafood,Suan Cai Yu soup,Suan Cai Yu soup (big),酸菜鱼汤（大份）,35.00,
186,seafood,Σούπα ψαριού με chilli,Sichuan fish chilli soup (big),四川水煮鱼（大份）,35.00,3
187,seafood,Αστακός στον ατμό,Steamed Lobster,清蒸龙虾,100.00,
188,seafood,Αστακός με πιπερόριζα & κρεμμύδια,Lobster with ginger & onions,姜葱龙虾,100.00,
189,seafood,Καλαμάρι με αλάτι & πιπέρι,Squid with salt & pepper,椒盐鱿鱼,15.90,1
210,claypots,Τηγανητό tofu με λαχανικά,Fried tofu with vegetables,蔬菜炸豆腐,14.90,
211,claypots,Μοσχάρι goulash με κινέζικα καρότα,Beef goulash with Chinese carrots,红烧牛腩配中式胡萝卜,17.90,
212,claypots,Μοσχάρι goulash με tofu skin,Beef goulash with tofu skin,红烧牛腩配腐竹,17.90,
213,claypots,Μοσχάρι goulash με σάλτσα κάρυ,Beef goulash with curry sauce,咖喱红烧牛腩,17.90,
214,claypots,Τηγανητό tofu με τραγανό χοιρινό,Fried tofu with crispy pork,脆皮猪肉炸豆腐,17.90,
215,claypots,Τηγανητό tofu με seafood,Fried tofu with seafood,海鲜炸豆腐,17.90,
216,claypots,Μελιτζάνες με χοιρινό,Eggplants with pork,猪肉茄子,15.90,
217,claypots,Τηγανητό tofu με κεφάλια ψαριών,Fried tofu with fish heads,鱼头炸豆腐,16.90,
135,dishes-with-rice,Ψητή πάπια & ρύζι ατμού,Roasted duck with steamed rice,烧鸭饭,16.50,
136,dishes-with-rice,Ψητό χοιρινό Tja Siew & ρύζι ατμού,Roasted pork Tja Siew with steamed rice,叉烧饭,15.90,
137,dishes-with-rice,Ψητό τραγανό χοιρινό & ρύζι ατμού,Roasted crispy pork with steamed rice,脆皮猪肉饭,15.90,
138,dishes-with-rice,Ανάμεικτα λαχανικά & ρύζι ατμού,Mixed vegetables with steamed rice,杂菜饭,11.90,
139,dishes-with-rice,Μοσχάρι goulash & ρύζι ατμού,Beef goulash with steamed rice,红烧牛腩饭,15.90,
220,vegetables,Ανάμεικτα λαχανικά με σάλτσα Kung Pao,Mixed vegetables with Kung Pao sauce,宫保杂菜,8.90,1
221,vegetables,Ανάμεικτα λαχανικά με σάλτσα Thai,Mixed vegetables with Thai sauce,泰汁杂菜,8.90,2
222,vegetables,Ανάμεικτα λαχανικά με σάλτσα μαύρων φασολιών,Mixed vegetables with black bean sauce,豆豉杂菜,8.90,
223,vegetables,Ανάμεικτα λαχανικά με σάλτσα κάρυ,Mixed vegetables with curry sauce,咖喱杂菜,8.90,
224,vegetables,Ανάμεικτα λαχανικά με σάλτσα στρειδιών,Mixed vegetables with oyster sauce,蚝油杂菜,8.90,
225,vegetables,Ανάμεικτα λαχανικά με γλυκόξινη σάλτσα,Mixed vegetables with sweet & sour sauce,甜酸杂菜,8.90,
226,vegetables,Ανάμεικτα λαχανικά με tofu,Mixed vegetables with tofu,豆腐杂菜,9.50,
227,vegetables,Κινέζικο μπρόκολο,Chinese broccoli,中国芥兰,9.50,
228,vegetables,Κινέζικο λάχανο,Chinese cabbage,中式白菜,9.50,
229,vegetables,Τηγανητό αγγούρι με σκόρδο,Fried cucumber with garlic,蒜蓉炒青瓜,8.90,
230,vegetables,Μπρόκολο με σάλτσα στρειδιών,Broccoli with oyster sauce,蚝油西兰花,9.50,
231,vegetables,Τηγανητό tofu με γλυκόξινη σάλτσα,Fried tofu with sweet & sour sauce,甜酸炸豆腐,9.90,
232,vegetables,Τηγανητό tofu,Fried tofu,炸豆腐,9.90,
233,vegetables,Mapo Tofu με ή χωρίς κρέας,Mapo tofu with or without meat,麻婆豆腐（可选有肉或无肉）,10.90,3
234,vegetables,Τηγανητή μελιτζάνα,Fried eggplant,炸茄子,10.90,
235,vegetables,Τηγανητά φασολάκια με σκόρδο,Fried green beans with garlic,蒜蓉四季豆,10.90,
236,vegetables,Τηγανητό σπανάκι,Fried water spinach,炒通菜,10.90,
237,vegetables,Βλαστάρια φασολιών,Fried bean sprouts,炒豆芽,9.90,
238,vegetables,Κινέζικες τηγανητές πατάτες,Chinese potato stir-fry,中式炒土豆丝,9.90,3
239,vegetables,Πράσινα λαχανικά Shanghai pak choi,Shanghai pak choi,上海青,9.90,
240,vegetables,Τηγανητές ντομάτες με αυγά,Fried tomatoes with eggs,番茄炒蛋,10.90,
85,kids-meals,Chicken nuggets & french fries,Chicken nuggets & french fries,鸡块配薯条,10.00,
86,kids-meals,Πατάτες τηγανητές,French fries,薯条,5.50,
297,sweets,Τηγανητή μπανάνα με μέλι,Fried banana with honey,蜂蜜炸香蕉,6.00,
298,sweets,Τηγανητή μπανάνα με σοκολάτα,Fried banana with chocolate,巧克力炸香蕉,6.00,
299,sweets,Τηγανητός ανανάς με μέλι,Fried pineapple with honey,蜂蜜炸菠萝,5.00,
300,sweets,Τηγανητό παγωτό,Fried ice cream,炸雪糕,6.50,
301,sweets,Μπάλα παγωτό,Scoop ice cream,单球雪糕,3.00,
255,soft-drinks,COCA COLA / zero 330ml,COCA COLA / zero 330ml,可口可乐 / 零度 330ml,2.50,
255,soft-drinks,SPRITE 330ml,SPRITE 330ml,雪碧 330ml,2.50,
255,soft-drinks,FANTA orange 330ml,FANTA orange 330ml,芬达橙味 330ml,2.50,
255,soft-drinks,FANTA lemon 330ml,FANTA lemon 330ml,芬达柠檬味 330ml,2.50,
255,soft-drinks,SCHWEPPES SODA 300ml,SCHWEPPES SODA 300ml,怡泉苏打水 300ml,2.50,
255,soft-drinks,BLACK ICE TEA 300ml,BLACK ICE TEA 300ml,黑冰茶 300ml,2.50,
256,soft-drinks,Γάλα καρύδας / Coconut juice 330ml,Coconut juice 330ml,椰子汁 330ml,3.50,
257,soft-drinks,Κινέζικο κρύο τσάι Jia Duo Bao 330ml,Jia Duo Bao 330ml,加多宝 330ml,3.50,
258,soft-drinks,Νερό / Water 500ml,Water 500ml,矿泉水 500ml,1.00,
259,soft-drinks,Νερό / Water 1.5L,Water 1.5L,矿泉水 1.5L,2.50,
260,soft-drinks,Φυσικός χυμός πορτοκάλι 330ml,Fresh orange juice 330ml,鲜榨橙汁 330ml,5.50,
262,hot-tea,Πράσινο τσάι,Green Tea,绿茶,4.00,
263,hot-tea,Τσάι γιασεμιού,Jasmine Green Tea,茉莉花茶,4.00,
264,hot-tea,Τσάι χρυσανθέμων,Chrysanthemum tea,菊花茶,4.00,
270,beers,HEINEKEN 330ml,HEINEKEN 330ml,喜力 330ml,3.50,
